Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Buffalo/Rochester,Weekly,"2022-01-16 00:00:00",Conventional,1.421010791,196602.67,25651.72,52663.51,119.75,114076.96,,,,4090.73
Buffalo/Rochester,Weekly,"2022-01-09 00:00:00",Conventional,1.363746305,194397.29,23640.68,50385.58,140.39,114087.82,,,,6142.82
Buffalo/Rochester,Weekly,"2022-01-03 00:00:00",Conventional,1.255692456,185162.14,37859.48,43289.75,120.70,99382.72,,,,4509.49
Charlotte,Weekly,"2022-01-23 00:00:00",Conventional,1.483118703,312621.17,117679.41,52693.50,4087.19,117037.70,,,,21123.36
Charlotte,Weekly,"2022-01-16 00:00:00",Conventional,1.350760971,354305.22,122632.77,56564.31,4047.06,149536.14,,,,21524.94
Charlotte,Weekly,"2022-01-09 00:00:00",Conventional,1.215315552,368090.41,150812.60,62862.71,4640.16,125895.28,,,,23879.65
Charlotte,Weekly,"2022-01-03 00:00:00",Conventional,1.131690713,396075.03,127209.04,54903.02,4818.40,182350.88,,,,26793.69
Chicago,Weekly,"2022-01-23 00:00:00",Conventional,1.479813669,802067.45,107686.82,103786.54,36000.61,230857.49,,,,323735.99
Chicago,Weekly,"2022-01-16 00:00:00",Conventional,1.436018277,813439.44,103739.20,99078.37,36340.93,252900.11,,,,321380.83
Chicago,Weekly,"2022-01-09 00:00:00",Conventional,1.421930009,800338.38,134154.43,94698.68,37264.79,225609.07,,,,308611.42
Chicago,Weekly,"2022-01-03 00:00:00",Conventional,1.029123232,1177381.67,151912.36,207348.17,40472.70,215613.95,,,,562034.50
Cincinnati/Dayton,Weekly,"2022-01-23 00:00:00",Conventional,1.017518053,322467.50,102211.85,21038.69,155.17,36901.35,,,,162160.45
Cincinnati/Dayton,Weekly,"2022-01-16 00:00:00",Conventional,0.981073085,355946.71,119173.30,16410.26,152.30,38835.99,,,,181374.86
Cincinnati/Dayton,Weekly,"2022-01-09 00:00:00",Conventional,0.925662453,354676.45,124926.12,16425.76,127.72,36399.13,,,,176797.73
Cincinnati/Dayton,Weekly,"2022-01-03 00:00:00",Conventional,0.881990729,351248.53,97938.00,30173.29,239.21,34198.96,,,,188699.07
Columbus,Weekly,"2022-01-23 00:00:00",Conventional,1.069786496,260975.34,83072.18,14531.26,109.45,42888.43,,,,120374.03
Columbus,Weekly,"2022-01-16 00:00:00",Conventional,0.942886814,297423.18,97848.06,10864.08,121.05,43791.98,,,,144798.00
Columbus,Weekly,"2022-01-09 00:00:00",Conventional,0.938357214,283679.56,99611.81,10899.82,75.27,39816.73,,,,133275.93
Columbus,Weekly,"2022-01-03 00:00:00",Conventional,0.839014125,300928.41,95081.27,21812.93,188.07,37318.50,,,,146527.64
"Dallas/Ft. Worth",Weekly,"2022-01-23 00:00:00",Conventional,1.016927689,1344295.05,409275.26,123452.53,10811.91,428568.44,,,,372186.90
"Dallas/Ft. Worth",Weekly,"2022-01-16 00:00:00",Conventional,0.990175132,1423860.50,380422.05,132813.77,11033.81,509574.17,,,,390016.70
"Dallas/Ft. Worth",Weekly,"2022-01-09 00:00:00",Conventional,0.928117851,1311807.29,345091.68,167727.54,10607.31,426690.65,,,,361690.11
"Dallas/Ft. Worth",Weekly,"2022-01-03 00:00:00",Conventional,0.762576452,1538466.70,335438.93,169898.80,11574.29,689312.64,,,,332242.05
Denver,Weekly,"2022-01-23 00:00:00",Conventional,1.275773580,794000.51,140983.98,40168.61,3032.33,255961.99,,,,353853.60
