Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Wichita,Weekly,2/02/2020 0:00,Conventional,0.881619793,127399.05,39952.31,12381.77,7.65,25190.63,0,0,0,49866.68
Wichita,Weekly,9/02/2020 0:00,Conventional,0.795047016,122744.4,43938.61,14763.32,13.12,23947.3,0,0,0,40082.05
Wichita,Weekly,16/02/2020 0:00,Conventional,0.921123002,96452.41,32878.68,9713.23,14.2,21741.93,0,0,0,32104.38
Wichita,Weekly,23/02/2020 0:00,Conventional,0.959335243,102136.12,36259.04,4938.84,19.49,23454.65,0,0,0,37464.1
Wichita,Weekly,1/03/2020 0:00,Conventional,0.8710755,113653.25,35874.55,3434.67,5.42,24723.95,0,0,0,49614.65
Wichita,Weekly,8/03/2020 0:00,Conventional,0.876848164,115776.88,37648.19,2955.49,4.22,24162.85,0,0,0,51006.14
Wichita,Weekly,15/03/2020 0:00,Conventional,0.999093741,115723.81,36007.15,3332.78,14.16,31281.29,0,0,0,45088.43
Wichita,Weekly,22/03/2020 0:00,Conventional,1.04461138,118905.56,40761.97,3494.73,8.68,28532.74,0,0,0,46107.44
Wichita,Weekly,29/03/2020 0:00,Conventional,0.919211601,121082.45,39235.29,2144.35,9.79,22366.39,0,0,0,57326.63
Wichita,Weekly,5/04/2020 0:00,Conventional,0.946269277,123804.8,42733.91,2533.16,17.12,25792.37,0,0,0,52728.24
Wichita,Weekly,12/04/2020 0:00,Conventional,1.01429693,117447.5,40868.68,2762.5,235.5,29220.61,0,0,0,44360.19
Wichita,Weekly,19/04/2020 0:00,Conventional,0.902468323,128813.96,43304.97,1910.43,734.73,26203.71,0,0,0,56660.12
Wichita,Weekly,26/04/2020 0:00,Conventional,0.925367761,133657.97,46730.21,2839.66,104.3,27485.83,0,0,0,56497.98
Wichita,Weekly,3/05/2020 0:00,Conventional,0.906779089,145311.58,46592.65,3224.9,135.37,31024.77,0,0,0,64333.89
Wichita,Weekly,10/05/2020 0:00,Conventional,0.893741075,153318.53,51827.14,3909.88,39.95,35282.16,0,0,0,62259.4
