Geography,Timeframe,Lat,Lng,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
Total U.S.,Weekly,#FIELD!,#FIELD!,9/05/2021 0:00,Organic,1.600883287,2226780.87,107740.89,137051.64,412.67,1273244.78,1217118.12,13233.13,53.55,708330.89
Total U.S.,Weekly,#FIELD!,#FIELD!,16/05/2021 0:00,Conventional,1.145527615,39775474.05,10806593.01,7064001.04,481785.59,10385495,8987134.68,455305.02,644232.74,11037599.42
Total U.S.,Weekly,#FIELD!,#FIELD!,16/05/2021 0:00,Organic,1.656050674,1908656.65,94334.4,132882.08,345.04,1182981.73,1143397.09,11276.14,9.45,498113.41
Total U.S.,Weekly,#FIELD!,#FIELD!,13/06/2021 0:00,Conventional,1.139443602,40769234.14,11335780.27,7112214.79,421178.77,11133955.08,9470098.44,486114.86,657686.37,10766105.23
Total U.S.,Weekly,#FIELD!,#FIELD!,6/06/2021 0:00,Conventional,1.145413921,40977184.82,11386864.45,7172741.76,388976.28,10861248.65,9206465.78,491091.48,677525.14,11167353.68
Total U.S.,Weekly,#FIELD!,#FIELD!,30/05/2021 0:00,Conventional,1.18630532,40441973.33,11098232.77,7411198.96,492086.32,10934964.95,9207796.49,565322.6,658663.15,10505490.34
Total U.S.,Weekly,#FIELD!,#FIELD!,23/05/2021 0:00,Conventional,1.134825532,40628677.15,10695986.34,7292984.13,390297.83,10862257.63,9234196.55,524154.68,649502.02,11387151.21
Total U.S.,Weekly,#FIELD!,#FIELD!,13/06/2021 0:00,Organic,1.670301158,1888911.07,72302.63,109068.8,251.32,1229671.59,1111816.54,16260.58,138.6,477616.74
Total U.S.,Weekly,#FIELD!,#FIELD!,6/06/2021 0:00,Organic,1.692039575,1859184.75,67043.78,107559.64,284.45,1236393.04,1107820.36,22376.24,103.95,447903.84
Total U.S.,Weekly,#FIELD!,#FIELD!,30/05/2021 0:00,Organic,1.661979601,1879040.61,73916.69,112605.51,257.24,1245514.24,1112577.22,35862.66,56.7,446746.93
Total U.S.,Weekly,#FIELD!,#FIELD!,23/05/2021 0:00,Organic,1.592191826,1997183.22,74606.38,114646.16,263.17,1345779.49,1193916.35,69203.95,88.2,461888.03
Total U.S.,Weekly,#FIELD!,#FIELD!,11/07/2021 0:00,Conventional,1.069345091,41010402.1,11226486.17,7399309.12,495348.58,10813165.74,8807138.63,626925.3,655168.41,11076092.48
Total U.S.,Weekly,#FIELD!,#FIELD!,4/07/2021 0:00,Conventional,1.134552845,42426920.04,11514748.56,7961384.59,593050.4,10837242.46,8960441.71,536059.25,669332.75,11520494.02
Total U.S.,Weekly,#FIELD!,#FIELD!,27/06/2021 0:00,Conventional,1.140000911,39689032.76,11328714.72,7179173.8,442366.83,9880721.3,8394172.87,330703.19,640669.15,10858056.1
Total U.S.,Weekly,#FIELD!,#FIELD!,20/06/2021 0:00,Conventional,1.157507908,41288226.57,10787503.37,7969420.86,537196.65,10532018.55,8833891.2,356270.63,674931.38,11462087.14
Total U.S.,Weekly,#FIELD!,#FIELD!,11/07/2021 0:00,Organic,1.703521047,1315839.23,0,0,0,926913.77,831522.46,14021.78,66.15,388925.46
Total U.S.,Weekly,#FIELD!,#FIELD!,4/07/2021 0:00,Organic,1.685224046,1526479.73,0,0,0,1076524.94,964506.09,12843.45,85.05,449954.79
Total U.S.,Weekly,#FIELD!,#FIELD!,27/06/2021 0:00,Organic,1.667801825,1480525.39,0,0,0,1020891.77,901969.42,14190.45,56.7,459633.61
Total U.S.,Weekly,#FIELD!,#FIELD!,20/06/2021 0:00,Organic,1.606033671,1651339.05,0,0,0,1175727.33,1050147.09,14907.33,116.55,475611.72
Total U.S.,Weekly,#FIELD!,#FIELD!,8/08/2021 0:00,Conventional,1.099921593,38217406.74,9826354.71,7350080.4,553516.71,9836933.71,7878321.43,569558.01,677275.4,10650521.22
Total U.S.,Weekly,#FIELD!,#FIELD!,1/08/2021 0:00,Conventional,1.114488529,37503352.81,9047826.98,7242650.79,522438.61,10500167.79,8240995.14,787640.81,580947.97,10190268.65
Total U.S.,Weekly,#FIELD!,#FIELD!,25/07/2021 0:00,Conventional,1.070782307,39734404.42,10081026.44,7171438.85,774303.6,10727282.12,8510322.7,888036.13,617067.72,10980353.41
Total U.S.,Weekly,#FIELD!,#FIELD!,18/07/2021 0:00,Conventional,1.043216264,41829027.26,10342606.45,7308794.62,793882.67,12105778.63,9764755.8,798771.29,625404.68,11277964.89
Total U.S.,Weekly,#FIELD!,#FIELD!,8/08/2021 0:00,Organic,1.776774927,1602296.92,87536.43,109516.22,164.96,998375.69,867864.69,46796.05,138.6,406703.61
Total U.S.,Weekly,#FIELD!,#FIELD!,1/08/2021 0:00,Organic,1.777768912,1566616.86,70499.97,154787.13,404.28,956717.98,818283.1,59850.14,40.95,384207.5
