Geography,Timeframe,Lat,Lng,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units,Bulk GTIN
California,Weekly,#FIELD!,#FIELD!,17/04/2022 0:00,Conventional,1.562569199,5786392.72,1275553.29,464871.73,97533.88,1413461.13,,,,2534972.69
California,Weekly,#FIELD!,#FIELD!,10/04/2022 0:00,Conventional,1.526812044,5720303.09,1185584.1,385269.94,130450.6,1421227.86,,,,2597770.59
California,Weekly,#FIELD!,#FIELD!,3/04/2022 0:00,Conventional,1.544145279,5398001.92,1132553.45,388906.65,116651.62,1331290.47,,,,2428599.74
California,Weekly,#FIELD!,#FIELD!,27/03/2022 0:00,Conventional,1.522065655,6079362.59,1362401.85,430483.3,108056.86,1284482.45,,,,2893938.13
California,Weekly,#FIELD!,#FIELD!,17/04/2022 0:00,Organic,2.129497742,290804.8,18039.13,21586.08,0,121987.87,,,,129191.72
California,Weekly,#FIELD!,#FIELD!,10/04/2022 0:00,Organic,2.10010421,301339.05,18709.45,25321.26,0,135595.88,,,,121712.46
California,Weekly,#FIELD!,#FIELD!,3/04/2022 0:00,Organic,2.027243204,324461.19,16644.45,23003.99,0,160409.62,,,,124403.13
California,Weekly,#FIELD!,#FIELD!,27/03/2022 0:00,Organic,1.955988705,306182.9,17300.55,19049.93,0,151172.47,,,,118659.95
Great Lakes,Weekly,#FIELD!,#FIELD!,23/01/2022 0:00,Conventional,1.205796938,3972117.03,984900.78,503376.17,225913.18,836305.08,,,,1421621.83
Great Lakes,Weekly,#FIELD!,#FIELD!,16/01/2022 0:00,Conventional,1.133069484,4222604.01,1064787.03,429619.16,141170.87,995313.87,,,,1591713.09
Great Lakes,Weekly,#FIELD!,#FIELD!,9/01/2022 0:00,Conventional,1.079471904,4211116.2,1281752.61,431599.49,146823.32,832116.95,,,,1518823.83
Great Lakes,Weekly,#FIELD!,#FIELD!,3/01/2022 0:00,Conventional,0.940627899,4903981.56,1106859.87,735858.85,379234.2,789912.39,,,,1892116.25
Great Lakes,Weekly,#FIELD!,#FIELD!,23/01/2022 0:00,Organic,1.581405211,188249.43,3821.89,15789.08,1.2,99720.49,,,,68916.78
Great Lakes,Weekly,#FIELD!,#FIELD!,16/01/2022 0:00,Organic,1.455725911,199455.55,4388.66,16397.89,0,111742.58,,,,66926.42
Great Lakes,Weekly,#FIELD!,#FIELD!,9/01/2022 0:00,Organic,1.574685195,165225.36,4423.23,16118.76,0,86908.85,,,,57774.52
Great Lakes,Weekly,#FIELD!,#FIELD!,3/01/2022 0:00,Organic,1.602071652,161488.19,4936.59,15658.1,0,74936.01,,,,65957.49
Great Lakes,Weekly,#FIELD!,#FIELD!,20/02/2022 0:00,Conventional,1.246402122,4006188.79,1212707.27,363211.78,126966.79,865585.49,,,,1437717.46
Great Lakes,Weekly,#FIELD!,#FIELD!,13/02/2022 0:00,Conventional,1.171541825,5958123.19,1729057.52,697384.85,349862.1,872990.77,,,,2308827.96
Great Lakes,Weekly,#FIELD!,#FIELD!,6/02/2022 0:00,Conventional,1.181169375,4174432.06,1087139.82,360792.97,132141.94,1111669.92,,,,1482687.41
Great Lakes,Weekly,#FIELD!,#FIELD!,30/01/2022 0:00,Conventional,1.083074346,4578795.46,1323055.69,447464.63,126497.27,858079.63,,,,1823698.24
Great Lakes,Weekly,#FIELD!,#FIELD!,20/02/2022 0:00,Organic,1.82234386,133320.33,4207.88,11417.08,0,72272.42,,,,45422.96
Great Lakes,Weekly,#FIELD!,#FIELD!,13/02/2022 0:00,Organic,1.775455723,141343.06,2793.64,12260.54,0,77557.44,,,,48731.45
Great Lakes,Weekly,#FIELD!,#FIELD!,6/02/2022 0:00,Organic,1.588056493,180767.51,3458.07,16384.16,3.5,100744.9,,,,60176.88
Great Lakes,Weekly,#FIELD!,#FIELD!,30/01/2022 0:00,Organic,1.591293723,194887.95,4104.41,17011.01,0,109192.97,,,,64579.57
Great Lakes,Weekly,#FIELD!,#FIELD!,20/03/2022 0:00,Conventional,1.340040837,3760310.11,1131589.9,314486.61,105642.44,808840.14,,,,1399751.03
Great Lakes,Weekly,#FIELD!,#FIELD!,13/03/2022 0:00,Conventional,1.313802121,3935453.23,1107788.73,359624.5,116889.73,867692.22,,,,1483458.04
Great Lakes,Weekly,#FIELD!,#FIELD!,6/03/2022 0:00,Conventional,1.370028459,3724685.98,1016845.47,341436.41,119324.72,841062.33,,,,1406017.05
Great Lakes,Weekly,#FIELD!,#FIELD!,27/02/2022 0:00,Conventional,1.300882202,3990377.03,1058655.2,433670.86,191473.14,826845.63,,,,1479732.2
Great Lakes,Weekly,#FIELD!,#FIELD!,20/03/2022 0:00,Organic,1.874331216,159884.47,2189.07,13353.81,0,85535.28,,,,58806.31
Great Lakes,Weekly,#FIELD!,#FIELD!,13/03/2022 0:00,Organic,1.831659282,180791.64,2755.95,13593.08,0,104599.05,,,,59843.56
Great Lakes,Weekly,#FIELD!,#FIELD!,6/03/2022 0:00,Organic,1.777535063,148630.48,2370.62,11933.87,0,84129.12,,,,50196.88
Great Lakes,Weekly,#FIELD!,#FIELD!,27/02/2022 0:00,Organic,1.75993336,146658.89,2806.14,12950.79,0,85230.04,,,,45671.93
Great Lakes,Weekly,#FIELD!,#FIELD!,17/04/2022 0:00,Conventional,1.474616663,3967244.05,910307.48,490719.75,74292.56,1103420.39,,,,1388503.88
Great Lakes,Weekly,#FIELD!,#FIELD!,10/04/2022 0:00,Conventional,1.351861906,4447412.45,1073422.51,427150.4,56611.92,1169602.59,,,,1720625.04
Great Lakes,Weekly,#FIELD!,#FIELD!,3/04/2022 0:00,Conventional,1.300191817,4160554.2,1063611.91,422930.45,61226.27,1029349.97,,,,1583435.6
Great Lakes,Weekly,#FIELD!,#FIELD!,27/03/2022 0:00,Conventional,1.453277312,3606213.25,939975.29,396867.14,117185.15,842310.15,,,,1309875.52
Great Lakes,Weekly,#FIELD!,#FIELD!,17/04/2022 0:00,Organic,1.91389009,163136.25,3688.63,11992.52,0,93650.51,,,,53804.58
Great Lakes,Weekly,#FIELD!,#FIELD!,10/04/2022 0:00,Organic,1.816636028,168165.97,2902.85,12652.39,0,96755.73,,,,55855.01
Great Lakes,Weekly,#FIELD!,#FIELD!,3/04/2022 0:00,Organic,1.860048146,168739.15,2911.18,13982.52,0,96657.96,,,,55187.49
Great Lakes,Weekly,#FIELD!,#FIELD!,27/03/2022 0:00,Organic,1.925702902,160753.25,2719.42,12920.56,0,91546.66,,,,53566.61
Northern New England,Weekly,#FIELD!,#FIELD!,23/01/2022 0:00,Conventional,1.189532476,513115.27,160631.53,197917.81,43.21,100998.02,,,,53524.71
Northern New England,Weekly,#FIELD!,#FIELD!,16/01/2022 0:00,Conventional,1.191520176,537420.9,164759.63,192718.83,7.56,99825.5,,,,80109.39
Northern New England,Weekly,#FIELD!,#FIELD!,9/01/2022 0:00,Conventional,1.286336156,477727.78,152072.66,185087.01,19.19,92114.14,,,,48434.78
Northern New England,Weekly,#FIELD!,#FIELD!,3/01/2022 0:00,Conventional,1.052108751,599149.77,224753.86,255004.48,17.7,70021.8,,,,49351.94
Northern New England,Weekly,#FIELD!,#FIELD!,23/01/2022 0:00,Organic,1.956232138,15799.07,205.01,407.88,1.35,13221.72,,,,1963.11
Northern New England,Weekly,#FIELD!,#FIELD!,16/01/2022 0:00,Organic,1.957572646,15907.85,316.98,526.8,0,12961.23,,,,2102.84
Northern New England,Weekly,#FIELD!,#FIELD!,9/01/2022 0:00,Organic,1.980351373,17324.5,243.3,708.6,0,13993.16,,,,2379.44
Northern New England,Weekly,#FIELD!,#FIELD!,3/01/2022 0:00,Organic,1.969356857,14360.86,162.17,524.09,0,12244.02,,,,1430.58
Northern New England,Weekly,#FIELD!,#FIELD!,20/02/2022 0:00,Conventional,1.245448963,500468.31,182136,178191.16,5.67,79386.02,,,,60749.46
Northern New England,Weekly,#FIELD!,#FIELD!,13/02/2022 0:00,Conventional,1.018520851,692550.48,280651.77,285555.7,26.71,80536.54,,,,45779.76
Northern New England,Weekly,#FIELD!,#FIELD!,6/02/2022 0:00,Conventional,1.333875206,443503.96,157890.74,170168.07,15.92,73749.4,,,,41679.82
Northern New England,Weekly,#FIELD!,#FIELD!,30/01/2022 0:00,Conventional,1.107560209,648414.08,249976.28,264539.49,28.34,86223.98,,,,47645.98
Northern New England,Weekly,#FIELD!,#FIELD!,20/02/2022 0:00,Organic,2.010293682,18969.08,224.41,962.21,0,15717.83,,,,2064.64
